day,meal,menu,students_present,leftover_kg
Saturday,Breakfast,Poha,239,15.13
Wednesday,Dinner,Biryani,483,23.57
Saturday,Breakfast,Paneer_Rice,154,11.06
Saturday,Breakfast,Biryani,232,14.59
Friday,Lunch,Chole_Rice,417,22.32
Friday,Breakfast,Paneer_Rice,240,10.79
Thursday,Breakfast,Chole_Rice,356,20.42
Sunday,Dinner,Rice_Dal,207,12.88
Monday,Dinner,Biryani,454,20.83
Saturday,Breakfast,Biryani,343,10.26
Wednesday,Dinner,Roti_Veg,356,28.42
Monday,Breakfast,Paneer_Rice,396,20.05
Wednesday,Dinner,Rice_Dal,96,8.31
Saturday,Breakfast,Chole_Rice,178,12.27
Thursday,Breakfast,Poha,359,28.65
Sunday,Dinner,Paneer_Rice,195,6.79
Sunday,Breakfast,Poha,495,35.53
Tuesday,Breakfast,Roti_Veg,302,19.24
Saturday,Lunch,Biryani,439,17.57
Sunday,Dinner,Roti_Veg,465,31.05
Tuesday,Breakfast,Rice_Dal,472,27.92
Friday,Lunch,Roti_Veg,434,31.5
Tuesday,Breakfast,Poha,395,30.94
Friday,Breakfast,Chole_Rice,479,37.98
Saturday,Dinner,Paneer_Rice,433,23.85
Saturday,Dinner,Rice_Dal,265,17.35
Sunday,Lunch,Poha,229,20.2
Thursday,Lunch,Chole_Rice,350,25.3
Saturday,Dinner,Paneer_Rice,180,14.81
Thursday,Breakfast,Paneer_Rice,341,17.67
Friday,Lunch,Biryani,390,18.11
Wednesday,Lunch,Roti_Veg,308,19.26
Tuesday,Breakfast,Chole_Rice,358,26.14
Monday,Lunch,Roti_Veg,80,5.11
Sunday,Lunch,Chole_Rice,197,17.37
Friday,Breakfast,Poha,271,24.14
Sunday,Breakfast,Chole_Rice,428,21.74
Wednesday,Breakfast,Chole_Rice,264,15.31
Friday,Lunch,Paneer_Rice,148,9.29
Saturday,Breakfast,Paneer_Rice,479,22.05
Tuesday,Lunch,Poha,118,10.71
Friday,Dinner,Roti_Veg,89,1.66
Saturday,Breakfast,Paneer_Rice,369,18.61
Friday,Breakfast,Paneer_Rice,95,8.16
Sunday,Lunch,Rice_Dal,463,38.27
Thursday,Lunch,Biryani,459,22.61
Monday,Breakfast,Poha,258,21.18
Monday,Breakfast,Roti_Veg,122,10.94
Thursday,Breakfast,Poha,91,9.07
Monday,Lunch,Poha,489,41.52
Tuesday,Lunch,Chole_Rice,497,34.73
Tuesday,Breakfast,Roti_Veg,154,5.41
Friday,Breakfast,Poha,328,19.42
Wednesday,Breakfast,Biryani,115,9.5
Tuesday,Breakfast,Chole_Rice,303,18.12
Friday,Dinner,Rice_Dal,434,33.39
Monday,Lunch,Rice_Dal,448,37.52
Saturday,Breakfast,Biryani,98,5.48
Monday,Breakfast,Rice_Dal,482,30.24
Saturday,Dinner,Paneer_Rice,418,21.16
Tuesday,Dinner,Poha,148,10.88
Wednesday,Breakfast,Paneer_Rice,132,4.9
Sunday,Breakfast,Poha,260,18.45
Sunday,Lunch,Poha,242,22.31
Sunday,Breakfast,Biryani,410,17.88
Friday,Lunch,Chole_Rice,220,19.91
Tuesday,Breakfast,Roti_Veg,362,18.92
Friday,Lunch,Biryani,215,11.61
Friday,Breakfast,Chole_Rice,224,12.66
Sunday,Dinner,Poha,443,39.51
Saturday,Dinner,Biryani,281,12.06
Thursday,Lunch,Roti_Veg,227,15.61
Thursday,Breakfast,Rice_Dal,80,4.04
Monday,Dinner,Paneer_Rice,448,26.08
Monday,Breakfast,Chole_Rice,196,12.95
Wednesday,Breakfast,Paneer_Rice,306,18.23
Wednesday,Breakfast,Roti_Veg,126,11.93
Sunday,Breakfast,Poha,133,13.71
Saturday,Dinner,Rice_Dal,91,5.82
Friday,Lunch,Paneer_Rice,243,14.53
Tuesday,Lunch,Paneer_Rice,257,13.88
Thursday,Dinner,Chole_Rice,224,12.21
Monday,Breakfast,Poha,291,18.58
Friday,Lunch,Biryani,332,17.64
Saturday,Lunch,Biryani,335,18.02
Tuesday,Lunch,Roti_Veg,330,22.18
Friday,Breakfast,Rice_Dal,453,29.92
Sunday,Breakfast,Chole_Rice,394,20.93
Wednesday,Breakfast,Poha,496,30.59
Monday,Breakfast,Chole_Rice,276,14.93
Sunday,Breakfast,Chole_Rice,338,24.38
Friday,Lunch,Roti_Veg,162,12.5
Monday,Breakfast,Chole_Rice,445,24.35
Thursday,Lunch,Rice_Dal,448,31.92
Tuesday,Dinner,Roti_Veg,329,23.97
Wednesday,Lunch,Paneer_Rice,133,9.47
Thursday,Breakfast,Chole_Rice,301,19.59
Sunday,Dinner,Poha,420,37.7
Saturday,Lunch,Biryani,182,12.29
Saturday,Dinner,Biryani,387,12.5
Monday,Lunch,Rice_Dal,414,35.88
Wednesday,Breakfast,Poha,364,24.03
Thursday,Lunch,Rice_Dal,409,31.77
Tuesday,Breakfast,Chole_Rice,314,18.07
Wednesday,Dinner,Biryani,190,6.56
Monday,Dinner,Biryani,234,12.23
Friday,Lunch,Poha,201,20.42
Tuesday,Lunch,Poha,101,9.16
Friday,Lunch,Rice_Dal,212,13.68
Tuesday,Breakfast,Chole_Rice,297,17.86
Friday,Dinner,Rice_Dal,361,27.11
Sunday,Lunch,Biryani,398,21.73
Friday,Breakfast,Roti_Veg,371,22.09
Friday,Dinner,Chole_Rice,93,9.52
Tuesday,Dinner,Chole_Rice,295,19.22
Wednesday,Dinner,Biryani,190,9.63
Sunday,Lunch,Biryani,318,12.43
Monday,Dinner,Poha,107,6.09
Tuesday,Dinner,Rice_Dal,352,23.62
Thursday,Breakfast,Rice_Dal,92,4.82
Thursday,Breakfast,Paneer_Rice,473,23.27
Sunday,Dinner,Chole_Rice,113,12.54
Sunday,Breakfast,Paneer_Rice,162,5.48
Thursday,Lunch,Roti_Veg,394,22.8
Friday,Lunch,Poha,456,39.4
Saturday,Lunch,Paneer_Rice,429,24.57
Wednesday,Lunch,Chole_Rice,429,30.44
Friday,Dinner,Chole_Rice,401,24.18
Thursday,Dinner,Paneer_Rice,414,21.05
Saturday,Dinner,Chole_Rice,273,20.4
Sunday,Dinner,Roti_Veg,252,14.2
Saturday,Dinner,Paneer_Rice,304,18.47
Thursday,Breakfast,Paneer_Rice,126,10.14
Saturday,Breakfast,Chole_Rice,218,15.9
Sunday,Breakfast,Biryani,338,13.46
Tuesday,Breakfast,Roti_Veg,251,13.53
Tuesday,Breakfast,Roti_Veg,163,12.24
Monday,Breakfast,Biryani,478,15.91
Saturday,Dinner,Biryani,173,7.26
Friday,Dinner,Rice_Dal,497,38.56
Thursday,Dinner,Biryani,80,6.3
Friday,Dinner,Rice_Dal,308,26.28
Saturday,Lunch,Biryani,292,12.83
Saturday,Lunch,Chole_Rice,211,14.22
Monday,Breakfast,Roti_Veg,168,9.15
Saturday,Dinner,Poha,432,40.03
Sunday,Dinner,Rice_Dal,232,14.29
Tuesday,Lunch,Poha,183,13.34
Wednesday,Dinner,Biryani,277,13.08
Tuesday,Dinner,Poha,368,31.76
Thursday,Lunch,Biryani,499,25.38
Monday,Lunch,Paneer_Rice,165,12.71
Tuesday,Lunch,Poha,202,17.95
Friday,Dinner,Paneer_Rice,444,24.63
Thursday,Dinner,Poha,215,17.49
Thursday,Breakfast,Roti_Veg,490,25.12
Sunday,Dinner,Biryani,499,17.13
Friday,Dinner,Chole_Rice,409,27.45
Saturday,Lunch,Roti_Veg,381,26.76
Saturday,Lunch,Rice_Dal,190,16.21
Thursday,Dinner,Paneer_Rice,435,22.03
Monday,Lunch,Biryani,108,9.79
Saturday,Breakfast,Chole_Rice,346,18.56
Friday,Lunch,Chole_Rice,499,34.62
Saturday,Dinner,Rice_Dal,80,7.42
Sunday,Breakfast,Rice_Dal,388,28.02
Monday,Lunch,Paneer_Rice,392,25.3
Wednesday,Lunch,Roti_Veg,470,24.4
Tuesday,Dinner,Roti_Veg,426,21.67
Thursday,Dinner,Biryani,261,11.4
Monday,Dinner,Paneer_Rice,277,13.92
Tuesday,Lunch,Poha,128,15.02
Sunday,Breakfast,Paneer_Rice,440,21.13
Thursday,Dinner,Poha,439,33.04
Monday,Dinner,Rice_Dal,303,22.03
Wednesday,Dinner,Chole_Rice,111,8.66
Saturday,Breakfast,Rice_Dal,365,24.66
Monday,Lunch,Biryani,254,15.58
Tuesday,Lunch,Chole_Rice,192,17.79
Sunday,Breakfast,Poha,134,6.2
Sunday,Dinner,Roti_Veg,445,30.01
Sunday,Lunch,Poha,87,9.62
Monday,Breakfast,Biryani,334,12.38
Monday,Dinner,Roti_Veg,370,23.57
Saturday,Lunch,Biryani,479,26.23
Friday,Lunch,Roti_Veg,86,4.64
Tuesday,Dinner,Rice_Dal,230,18.01
Tuesday,Lunch,Rice_Dal,382,31.68
Friday,Dinner,Roti_Veg,465,26.75
Thursday,Breakfast,Poha,335,25.21
Saturday,Breakfast,Roti_Veg,132,9.13
Saturday,Breakfast,Roti_Veg,237,13.61
Wednesday,Lunch,Rice_Dal,449,39.72
Sunday,Breakfast,Chole_Rice,357,23.32
Wednesday,Lunch,Paneer_Rice,233,11.36
Sunday,Breakfast,Biryani,405,16.43
Tuesday,Breakfast,Roti_Veg,435,21.85
Friday,Breakfast,Chole_Rice,457,27.13
Thursday,Dinner,Poha,441,34.9
Sunday,Lunch,Biryani,247,10.76
Tuesday,Breakfast,Rice_Dal,388,20.68
Tuesday,Lunch,Roti_Veg,389,22.14
Wednesday,Breakfast,Biryani,260,7.51
Friday,Dinner,Biryani,243,12.81
Monday,Dinner,Biryani,389,22.18
Saturday,Lunch,Poha,391,34.08
Monday,Lunch,Paneer_Rice,318,20.69
Wednesday,Breakfast,Chole_Rice,444,22.62
Wednesday,Lunch,Rice_Dal,233,13.48
Monday,Breakfast,Rice_Dal,140,9.52
Wednesday,Lunch,Rice_Dal,118,12.96
Monday,Breakfast,Rice_Dal,409,25.05
Monday,Dinner,Rice_Dal,382,28.94
Monday,Dinner,Poha,453,40.1
Saturday,Breakfast,Roti_Veg,168,13.79
Monday,Breakfast,Roti_Veg,126,10.87
Tuesday,Dinner,Rice_Dal,486,30.95
Sunday,Lunch,Poha,86,15.74
Monday,Dinner,Roti_Veg,394,23.57
Saturday,Dinner,Biryani,481,22.22
Wednesday,Lunch,Rice_Dal,93,5.18
Thursday,Breakfast,Roti_Veg,210,13.75
Friday,Dinner,Roti_Veg,262,20.02
Monday,Breakfast,Chole_Rice,488,24.08
Friday,Lunch,Rice_Dal,95,11.37
Tuesday,Dinner,Biryani,249,11.1
Tuesday,Lunch,Biryani,326,14.6
Wednesday,Dinner,Chole_Rice,108,5.57
Saturday,Breakfast,Poha,397,35.54
Thursday,Dinner,Rice_Dal,345,23.86
Saturday,Breakfast,Paneer_Rice,468,18.41
Tuesday,Lunch,Chole_Rice,372,25.8
Monday,Breakfast,Poha,152,12.03
Thursday,Dinner,Roti_Veg,372,20.25
Friday,Breakfast,Biryani,459,20.53
Saturday,Dinner,Chole_Rice,412,26.39
Tuesday,Breakfast,Paneer_Rice,339,20.17
Friday,Lunch,Roti_Veg,186,17.21
Tuesday,Breakfast,Roti_Veg,320,19.29
Sunday,Breakfast,Rice_Dal,178,15.67
Thursday,Lunch,Rice_Dal,140,12.35
Tuesday,Lunch,Rice_Dal,295,18.97
Wednesday,Dinner,Chole_Rice,348,23.56
Monday,Lunch,Poha,177,13.08
Wednesday,Breakfast,Biryani,202,10.43
Friday,Dinner,Biryani,305,16.45
Thursday,Dinner,Chole_Rice,407,26.03
Tuesday,Lunch,Poha,395,35.44
Friday,Breakfast,Poha,160,15.47
Wednesday,Lunch,Biryani,316,15.36
Monday,Lunch,Biryani,415,21.76
Wednesday,Breakfast,Poha,442,33.99
Friday,Breakfast,Poha,249,20.22
Thursday,Dinner,Poha,314,24.6
Friday,Lunch,Rice_Dal,110,9.5
Wednesday,Breakfast,Chole_Rice,118,8.86
Sunday,Lunch,Paneer_Rice,337,20.27
Sunday,Lunch,Poha,125,15.7
Wednesday,Breakfast,Rice_Dal,96,7.05
Friday,Dinner,Chole_Rice,493,29.62
Sunday,Lunch,Rice_Dal,303,22.94
Sunday,Lunch,Poha,357,34.76
Thursday,Lunch,Paneer_Rice,298,19.32
Monday,Lunch,Chole_Rice,272,18.44
Saturday,Lunch,Biryani,289,15.06
Sunday,Breakfast,Biryani,112,4.61
Saturday,Dinner,Biryani,137,8.97
Wednesday,Breakfast,Rice_Dal,118,8.96
Sunday,Dinner,Poha,236,22.26
Sunday,Lunch,Paneer_Rice,101,6.22
Wednesday,Dinner,Biryani,416,19.09
Friday,Dinner,Paneer_Rice,341,19.49
Wednesday,Breakfast,Poha,466,31.83
Saturday,Dinner,Roti_Veg,242,12.38
Monday,Breakfast,Paneer_Rice,353,17.68
Thursday,Lunch,Rice_Dal,224,20.92
Friday,Breakfast,Biryani,253,9.93
Friday,Breakfast,Paneer_Rice,457,22.62
Wednesday,Lunch,Rice_Dal,301,21.98
Saturday,Breakfast,Paneer_Rice,398,24.41
Saturday,Lunch,Poha,196,14.83
Friday,Breakfast,Poha,353,31.62
Saturday,Lunch,Chole_Rice,174,15.74
Monday,Breakfast,Paneer_Rice,181,13.33
Monday,Dinner,Chole_Rice,258,16.95
Monday,Lunch,Chole_Rice,165,11.88
Thursday,Breakfast,Roti_Veg,495,29.31
Saturday,Breakfast,Poha,195,15.88
Tuesday,Lunch,Roti_Veg,245,21.19
Tuesday,Dinner,Roti_Veg,185,13.78
Sunday,Breakfast,Biryani,396,20.39
Tuesday,Lunch,Paneer_Rice,397,24.33
Sunday,Dinner,Biryani,163,13.67
Saturday,Lunch,Biryani,206,13.58
Monday,Lunch,Chole_Rice,91,6.38
Friday,Dinner,Roti_Veg,226,13.22
Sunday,Lunch,Paneer_Rice,252,16.92
Sunday,Dinner,Paneer_Rice,161,8.54
Saturday,Lunch,Biryani,229,12.88
Wednesday,Dinner,Paneer_Rice,281,10.92
Wednesday,Dinner,Poha,172,11.88
Sunday,Breakfast,Chole_Rice,292,17.13
Sunday,Lunch,Poha,103,5.99
Thursday,Lunch,Paneer_Rice,231,12.22
Tuesday,Breakfast,Biryani,175,7.1
Tuesday,Lunch,Roti_Veg,499,32.13
Saturday,Dinner,Roti_Veg,322,21.71
Thursday,Dinner,Poha,97,9.92
Friday,Dinner,Rice_Dal,434,29.45
Saturday,Dinner,Roti_Veg,93,10.59
Saturday,Lunch,Poha,404,35.67
Saturday,Breakfast,Chole_Rice,310,17.21
Monday,Lunch,Chole_Rice,224,17.72
Tuesday,Dinner,Poha,340,27.96
Sunday,Breakfast,Paneer_Rice,243,12.82
Wednesday,Lunch,Biryani,197,11.47
Saturday,Lunch,Poha,345,28.76
Friday,Dinner,Paneer_Rice,80,7.02
Monday,Lunch,Paneer_Rice,363,20.8
Monday,Dinner,Chole_Rice,187,18.51
Wednesday,Breakfast,Paneer_Rice,449,19.11
Friday,Breakfast,Biryani,404,17.71
Monday,Breakfast,Biryani,285,9.77
Tuesday,Dinner,Biryani,205,13.93
Tuesday,Breakfast,Roti_Veg,364,19.87
Sunday,Dinner,Roti_Veg,486,31.44
Thursday,Lunch,Paneer_Rice,230,12.07
Sunday,Lunch,Poha,208,21.08
Sunday,Breakfast,Chole_Rice,84,6.36
Tuesday,Breakfast,Roti_Veg,215,12.68
Sunday,Breakfast,Paneer_Rice,407,21.86
Saturday,Breakfast,Poha,440,33.15
Tuesday,Lunch,Paneer_Rice,271,19.15
Monday,Breakfast,Poha,238,18.03
Monday,Dinner,Paneer_Rice,177,6.55
Saturday,Dinner,Chole_Rice,161,9.41
Friday,Breakfast,Biryani,444,17.16
Saturday,Dinner,Rice_Dal,292,21.59
Sunday,Breakfast,Paneer_Rice,278,9.46
Friday,Breakfast,Rice_Dal,384,27.72
Monday,Dinner,Paneer_Rice,181,11.38
Saturday,Lunch,Roti_Veg,344,20.89
Wednesday,Breakfast,Roti_Veg,407,16.1
Friday,Breakfast,Roti_Veg,232,19.33
Thursday,Breakfast,Roti_Veg,383,23.71
Sunday,Dinner,Chole_Rice,381,31.15
Tuesday,Dinner,Biryani,100,7.75
Monday,Dinner,Biryani,350,16.18
Thursday,Breakfast,Poha,354,26.7
Friday,Lunch,Biryani,236,9.54
Sunday,Dinner,Roti_Veg,499,27.65
Friday,Lunch,Rice_Dal,429,36.78
Wednesday,Dinner,Paneer_Rice,153,8.22
Sunday,Breakfast,Roti_Veg,377,22.13
Thursday,Lunch,Chole_Rice,464,33.82
Sunday,Dinner,Poha,454,31.27
Saturday,Lunch,Poha,293,29.93
Sunday,Lunch,Roti_Veg,200,15.06
Friday,Lunch,Rice_Dal,233,16.63
Wednesday,Dinner,Roti_Veg,424,22.67
Tuesday,Dinner,Paneer_Rice,321,16.77
Thursday,Lunch,Rice_Dal,198,14.79
Friday,Breakfast,Chole_Rice,372,25.52
Wednesday,Lunch,Rice_Dal,157,17.36
Friday,Breakfast,Rice_Dal,333,20.89
Sunday,Breakfast,Roti_Veg,402,20.37
Tuesday,Lunch,Poha,246,25.27
Thursday,Lunch,Chole_Rice,121,8.69
Sunday,Breakfast,Chole_Rice,115,6.87
Wednesday,Lunch,Rice_Dal,275,19.26
Friday,Breakfast,Paneer_Rice,209,10.1
Friday,Lunch,Roti_Veg,146,11.27
Saturday,Breakfast,Roti_Veg,338,15.15
Wednesday,Lunch,Chole_Rice,195,11.55
Saturday,Lunch,Paneer_Rice,412,27.53
Sunday,Lunch,Chole_Rice,237,19.38
Monday,Dinner,Paneer_Rice,224,7.25
Sunday,Dinner,Chole_Rice,84,5.83
Thursday,Breakfast,Rice_Dal,365,29.7
Tuesday,Dinner,Rice_Dal,351,26.15
Thursday,Lunch,Paneer_Rice,305,16.76
Monday,Breakfast,Roti_Veg,328,15.46
Monday,Breakfast,Biryani,402,13.31
Thursday,Lunch,Chole_Rice,498,29.49
Saturday,Dinner,Chole_Rice,395,24.94
Sunday,Breakfast,Roti_Veg,245,15.41
Tuesday,Breakfast,Biryani,237,11.72
Thursday,Lunch,Rice_Dal,478,37.91
Friday,Dinner,Roti_Veg,426,22.84
Thursday,Lunch,Roti_Veg,104,11.52
Tuesday,Breakfast,Poha,389,31.51
Monday,Lunch,Chole_Rice,317,18.93
Friday,Dinner,Biryani,469,19.13
Friday,Lunch,Paneer_Rice,104,5.14
Sunday,Breakfast,Paneer_Rice,91,5.92
Friday,Dinner,Chole_Rice,99,9.21
Tuesday,Breakfast,Paneer_Rice,469,18.96
Sunday,Dinner,Poha,497,43.41
Tuesday,Breakfast,Roti_Veg,461,23.64
Monday,Lunch,Chole_Rice,450,30.67
Sunday,Breakfast,Paneer_Rice,339,13.42
Thursday,Lunch,Roti_Veg,142,12.8
Friday,Dinner,Chole_Rice,335,21.0
Thursday,Lunch,Chole_Rice,308,19.4
Friday,Lunch,Poha,262,22.57
Saturday,Lunch,Poha,217,13.75
Sunday,Lunch,Poha,144,16.43
Friday,Breakfast,Poha,417,29.96
Friday,Breakfast,Paneer_Rice,267,13.99
Sunday,Breakfast,Roti_Veg,275,21.3
Tuesday,Lunch,Biryani,312,17.63
Tuesday,Breakfast,Roti_Veg,476,26.6
Monday,Breakfast,Rice_Dal,199,16.8
Thursday,Breakfast,Rice_Dal,89,4.54
Tuesday,Lunch,Paneer_Rice,311,24.19
Tuesday,Dinner,Chole_Rice,279,17.37
Monday,Dinner,Rice_Dal,422,26.87
Thursday,Breakfast,Poha,87,8.25
Friday,Breakfast,Biryani,464,16.23
Saturday,Dinner,Paneer_Rice,478,28.91
Wednesday,Dinner,Biryani,107,3.43
Friday,Lunch,Chole_Rice,431,26.0
Tuesday,Lunch,Paneer_Rice,416,26.95
Monday,Breakfast,Roti_Veg,128,6.51
Thursday,Lunch,Paneer_Rice,157,12.88
Tuesday,Breakfast,Paneer_Rice,219,11.72
Wednesday,Lunch,Chole_Rice,348,28.79
Thursday,Lunch,Biryani,89,7.01
Sunday,Breakfast,Roti_Veg,262,14.5
Saturday,Lunch,Rice_Dal,193,13.95
Saturday,Lunch,Paneer_Rice,292,17.65
Monday,Breakfast,Biryani,201,14.14
Saturday,Dinner,Rice_Dal,347,24.48
Friday,Lunch,Poha,205,19.93
Saturday,Lunch,Paneer_Rice,303,18.81
Wednesday,Breakfast,Chole_Rice,427,22.24
Friday,Breakfast,Roti_Veg,337,19.85
Wednesday,Lunch,Biryani,486,20.78
Thursday,Breakfast,Chole_Rice,250,17.76
Wednesday,Dinner,Chole_Rice,98,10.06
Sunday,Breakfast,Chole_Rice,374,25.07
Friday,Dinner,Roti_Veg,265,17.09
Monday,Breakfast,Biryani,467,17.82
Tuesday,Lunch,Biryani,89,3.61
Friday,Lunch,Biryani,490,20.11
Monday,Lunch,Roti_Veg,169,15.86
Tuesday,Lunch,Paneer_Rice,288,19.49
Wednesday,Dinner,Chole_Rice,391,28.46
